"Skladnik","Zawartosc(ulamek)","Zawartosc(kg)"
"Ekstrakt zoledziowy",0.2,20
"Rozcienczalnik: woda",0.5,50
"Rozcienczalnik: propanol",0,0
"Rozcienczalnik: aceton",0,0
"Olejki eteryczne",0,0
"Powloka ochronna (substancje oleiste oraz woski)",0.3,30
